PairedTagName,ATACName,DNAmethName,AllenIdName,all,H3K4me1,H3K9me3,H3K27ac,H3K27me3,ATAC,DNAMeth,HiC
118_ADP_MPO_Trp73_Glut,118_ADP-MPO_Trp73_Glut,118_ADP-MPO_Trp73_Glut,118 ADP-MPO Trp73 Glut,all-male628:287:341_female434:258:176,H3K4me1-male198:77:121_female189:114:75,H3K9me3-male163:35:128_female112:54:58,H3K27ac-male102:73:29_female50:33:17,H3K27me3-male165:102:63_female83:57:26,1,1,1
119_SI_MA_LPO_LHA_Skor1_Glut,119_SI-MA-LPO-LHA_Skor1_Glut,119_SI-MA-LPO-LHA_Skor1_Glut,119 SI-MA-LPO-LHA Skor1 Glut,all-male2582:1166:1416_female1950:1389:561,H3K4me1-male661:151:510_female551:375:176,H3K9me3-male983:462:521_female520:299:221,H3K27ac-male357:213:144_female473:434:39,H3K27me3-male581:340:241_female406:281:125,1,1,1
120_MEA_Otp_Foxp2_Glut,120_MEA_Otp_Foxp2_Glut,120_MEA_Otp_Foxp2_Glut,120 MEA Otp Foxp2 Glut,all-male4142:2057:2085_female6466:5097:1369,H3K4me1-male817:163:654_female1556:1160:396,H3K9me3-male1788:1172:616_female1786:1350:436,H3K27ac-male554:288:266_female2051:1934:117,H3K27me3-male983:434:549_female1073:653:420,1,1,1
121_MEA_BST_Otp_Zic2_Glut,121_MEA-BST_Otp_Zic2_Glut,121_MEA-BST_Otp_Zic2_Glut,121 MEA-BST Otp Zic2 Glut,all-male174:73:101_female338:256:82,H3K4me1-male38:7:31_female90:64:26,H3K9me3-male78:33:45_female64:46:18,H3K27ac-male22:12:10_female109:96:13,H3K27me3-male36:21:15_female75:50:25,1,1,1
122_LHA_MEA_Otp_Glut,122_LHA-MEA_Otp_Glut,122_LHA-MEA_Otp_Glut,122 LHA-MEA Otp Glut,all-male550:234:316_female550:411:139,H3K4me1-male143:24:119_female127:98:29,H3K9me3-male244:118:126_female124:77:47,H3K27ac-male61:45:16_female190:172:18,H3K27me3-male102:47:55_female109:64:45,0,0,0
123_DMH_Nkx2_4_Glut,123_DMH_Nkx2-4_Glut,123_DMH_Nkx2-4_Glut,123 DMH Nkx2-4 Glut,all-male647:276:371_female590:380:210,H3K4me1-male195:63:132_female224:169:55,H3K9me3-male180:16:164_female135:54:81,H3K27ac-male109:89:20_female61:41:20,H3K27me3-male163:108:55_female170:116:54,0,0,0
124_MPN_MPO_PVpo_Hmx2_Glut,124_MPN-MPO-PVpo_Hmx2_Glut,124_MPN-MPO-PVpo_Hmx2_Glut,124 MPN-MPO-PVpo Hmx2 Glut,all-male426:190:236_female346:209:137,H3K4me1-male142:48:94_female129:87:42,H3K9me3-male101:16:85_female83:41:42,H3K27ac-male88:64:24_female50:29:21,H3K27me3-male95:62:33_female84:52:32,1,1,1
125_DMH_Hmx2_Glut,125_DMH_Hmx2_Glut,125_DMH_Hmx2_Glut,125 DMH Hmx2 Glut,all-male1001:412:589_female669:405:264,H3K4me1-male299:76:223_female250:170:80,H3K9me3-male259:35:224_female168:71:97,H3K27ac-male171:129:42_female72:50:22,H3K27me3-male272:172:100_female179:114:65,0,0,0
126_ARH_PVp_Tbx3_Glut,126_ARH-PVp_Tbx3_Glut,126_ARH-PVp_Tbx3_Glut,126 ARH-PVp Tbx3 Glut,all-male3799:1830:1969_female2672:1586:1086,H3K4me1-male1288:543:745_female1169:773:396,H3K9me3-male756:183:573_female624:239:385,H3K27ac-male753:492:261_female299:208:91,H3K27me3-male1002:612:390_female580:366:214,1,1,1
127_DMH_LHA_Vgll2_Glut,127_DMH-LHA_Vgll2_Glut,127_DMH-LHA_Vgll2_Glut,127 DMH-LHA Vgll2 Glut,all-male1159:530:629_female1224:788:436,H3K4me1-male345:135:210_female552:395:157,H3K9me3-male289:60:229_female285:125:160,H3K27ac-male215:153:62_female152:104:48,H3K27me3-male310:182:128_female235:164:71,1,1,1
