,Gene,RTS,Priority
740,HEY2,0.028564108,Y
741,BHLHE41,0.028515579,Y
742,KRT76,0.02844723,Y
743,SNORA99,0.028180451,Y
744,CPEB1,0.028166657,Y
745,C1QC,0.028000778,Y
746,WNT7A,0.027586378,Y
747,FOXO6,0.027575166,Y
748,HOXA1,0.027575023,Y
749,PKP1,0.027306129,Y
750,VWA5B1,0.027235323,Y
751,FAM163B,0.027214601,Y
752,NTF3,0.027146121,Y
753,NFASC,0.027017851,Y
754,SCARA5,0.026939909,Y
755,CFAP74,0.026629454,Y
756,ZFHX4,0.02652259,Y
757,LOC101929384,0.026498942,Y
758,PRAMENP,0.026484655,Y
759,NOVA2,0.026439536,Y
760,LINC00489,0.026332691,Y
761,LOC101929234,0.026299765,Y
762,SLC17A9,0.026272441,Y
763,LINC00176,0.026227083,Y
764,FOXN4,0.02605772,Y
765,TRIM36,0.025997648,Y
766,SOX21,0.025996946,Y
767,PTH2,0.025629185,Y
768,PCDHGB4,0.025422783,Y
769,PTH1R,0.02540038,Y
770,FOXI3,0.025382252,Y
771,GAD1,0.025295253,Y
772,ZFHX3,0.025203736,Y
773,COL27A1,0.025108155,Y
774,ACTR5,0.025000094,Y
775,SLC30A3,0.024963377,Y
776,PCDHGA8,0.024887237,Y
777,ZBTB16,0.024804687,Y
778,MRGPRG-AS1,0.024601942,Y
779,QSOX2,0.024539573,Y
780,ERG,0.024451362,Y
781,CLDN9,0.024379162,Y
782,LOC100132215,0.024203736,Y
783,SHISA7,0.024150916,Y
784,PITX3,0.024150068,Y
785,LINC01494,0.024033444,Y
786,MYO5B,0.024015669,Y
787,FRMD4A,0.02399062,Y
788,LOC400706,0.023985692,Y
789,PLCH2,0.023957235,Y
790,C10orf11,0.023779595,Y
791,LOC101929229,0.023736407,Y
792,KRT1,0.023700165,Y
793,C15orf59-AS1,0.023669328,Y
794,ANKRD34C,0.023592856,Y
795,LOC102724050,0.023589759,Y
796,LOC100133461,0.023587166,Y
797,CYS1,0.023575814,Y
798,CHRND,0.023422774,Y
799,SLFN13,0.023361876,Y
800,PCDHGB5,0.023302683,Y
801,NKD2,0.023137927,Y
802,LY6H,0.023071276,Y
803,FGF13,0.023007563,Y
804,LINC01168,0.022906648,Y
805,C20orf166-AS1,0.02287353,Y
806,PCDH1,0.022759237,Y
807,NTRK3-AS1,0.022754185,Y
808,LINC00463,0.022744815,Y
809,MIR1-1,0.022744117,Y
810,ANKRD34C-AS1,0.022533202,Y
811,LINC00927,0.022495342,Y
812,KRT77,0.022491289,Y
813,LINC01143,0.0223791,Y
814,TCF15,0.022299336,Y
