L1_2_3,bestld,note
c31303,r0.5_seed6,r0.2_seed2;noL5
c31304,r0.6_seed6,auto;noL5
c31400,r0.5_seed8,r0.2_seed0;noL5
c31401,r0.9_seed6,r0.2_seed4;noL5
c31402,r0.5_seed4,auto;noL5
c31403,r0.5_seed8,r0.3_seed6;noL5
c31404,r0.4_seed6,r1.1_seed2;noL5
c31500,r0.6_seed1,auto;noL5
c31501,r0.1_seed0,r0.5_seed9;noL5
c31600,r0.6_seed6,r0.3_seed6;noL5
c31601,r0.5_seed4,auto;noL5
c31602,r0.1_seed0,r0.5_seed6;noL5
c31603,r0.4_seed0,r0.7_seed6;noL5
c31604,r0.4_seed0,auto;noL5
c31605,r0.4_seed1,auto;noL5
c31606,r0.1_seed0,r0.5_seed7;noL5
c31607,r0.2_seed8,auto;noL5
c31608,r0.5_seed0,auto;noL5
c31609,r0.6_seed3,auto;noL5
c31610,r0.4_seed8,auto;noL5
c31611,r0.8_seed3,auto;noL5
c31612,r0.4_seed1,auto;noL5
c31613,r0.1_seed0,auto;noL5
c31700,r1.1_seed3,r0.3_seed4;noL5
c31701,r0.1_seed0,r0.5_seed8;noL5
c31800,r0.6_seed1,auto;noL5
c31801,r0.6_seed3,r0.3_seed4;noL5
c31802,r0.5_seed9,r1.4_seed8;noL5
c31803,r0.4_seed5,r0.5_seed2;noL5
c31804,r0.4_seed3,r0.3_seed1;noL5
c31805,r0.3_seed1,auto;noL5
c31806,r0.4_seed9,r0.8_seed5;noL5
c31807,r0.5_seed0,r0.3_seed6;noL5
c31900,r0.1_seed0,r0.5_seed2;noL5
c31901,r0.5_seed4,r0.2_seed0;noL5
c32000,r0.5_seed6,r0.4_seed2;noL5
